path,size_bytes,type,sha256,introduction_version,status,origin,repository_path,attribution_basis
ARTICLE1_EVIDENCE_REPORT_V06.md,9349,.md,596047b354f4946c0420d7544a6338630a9477e77f397b343a97e2ae4d14fd3b,V06,preserved,library_zip,ARTICLE1_EVIDENCE_REPORT_V06.md,Document de socle disponible ; peut contenir des annotations ultérieures
ARTICLE1_MANUSCRIPT_DRAFT.md,23333,.md,7fbb2d2091a5b4ea8fc03cd6d832141b4458e3864b6216382617649125fbfbdb,V06,preserved,library_zip,ARTICLE1_MANUSCRIPT_DRAFT.md,Document de socle disponible ; peut contenir des annotations ultérieures
PILOT_RESULTS.md,2271,.md,30d79d444590889dd0225c0552acb17d3d98f373d7f35b5733c33d3a4b3aab24,V06,preserved,library_zip,PILOT_RESULTS.md,Document de socle disponible ; peut contenir des annotations ultérieures
SCIENTIFIC_RESULTS_REPORT.md,6457,.md,f95f98bcd1367b41b5f6de8675848802997ceedf90c56f5e955170058fb7143c,V06,preserved,library_zip,SCIENTIFIC_RESULTS_REPORT.md,Document de socle disponible ; peut contenir des annotations ultérieures
SCIENTIFIC_VALIDATION_PROTOCOL.md,11115,.md,10dba78c994cfe9bdc37d08997cd9cb68d03af497abe7cbca9a838d62c7c70d2,V06,preserved,library_zip,SCIENTIFIC_VALIDATION_PROTOCOL.md,Document de socle disponible ; peut contenir des annotations ultérieures
configs/allen_cahn_screen.yaml,1182,.yaml,075d617bd51692e47db3fe070c6d5744e1f6d2779ae710655bfc5a5949eaa091,V06,preserved,library_zip,configs/allen_cahn_screen.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/article1_pilot_campaign.yaml,355,.yaml,21a81ee0c4294b8e7b50aea54f2081d007ce39bb13d2ccd2d4bf1a3b4e01596d,V06,preserved,library_zip,configs/article1_pilot_campaign.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/article1_results_campaign.yaml,1526,.yaml,a26368cea5d566bf8d4fa5c26bedcb72522165ae14dd9bc4f964a06289470fd7,V06,preserved,library_zip,configs/article1_results_campaign.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/burgers_ablation_screen.yaml,1175,.yaml,f7df11e783986e104ab0e676df20e0a9a2ab028aed9462a563a9ec5e23417f69,V06,preserved,library_zip,configs/burgers_ablation_screen.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/burgers_confirmatory_long.yaml,1201,.yaml,203da71a50f697d0b21ca7a4a06f678f66cb4e9bed5bda21cbc8340aeb27298d,V06,preserved,library_zip,configs/burgers_confirmatory_long.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/burgers_data_block_missing.yaml,1244,.yaml,285b2d0afa3ba60199d2e0c3aa4abd30f53fe1ade731292717303e673b7b8c26,V06,preserved,library_zip,configs/burgers_data_block_missing.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/burgers_data_extreme.yaml,1189,.yaml,3cac8bcaff549d97a09bf8a74dc9fce1daad20f3330f687401eb7c06b0191c2f,V06,preserved,library_zip,configs/burgers_data_extreme.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
configs/burgers_data_sparse_clean.yaml,1179,.yaml,7e0e8d436d8680fae9f9d2fdf567cdacfc0cd910df187ce81df452e9dc950339,V06,preserved,library_zip,configs/burgers_data_sparse_clean.yaml,Configuration initiale disponible ; instantané conservé sans rétroversion
